from_node_id,to_node_id,link_id_from_to,day_no,timestamp_in_min,travel_time_in_min,delay_in_min,link_in_volume_number_of_veh,link_out_volume_number_of_veh,link_volume_in_veh_per_hour_per_lane,link_volume_in_veh_per_hour_for_all_lanes,density_in_veh_per_mile_per_lane,speed_in_mph,queue_length_percentage,cumulative_arrival_count,cumulative_departure_count,time_dependent_left_arrival_count,time_dependent_left_departure_count,number_of_through_and_right_queued_vehicles,number_of_left_queued_vehicles,cumulative_SOV_revenue,cumulative_HOV_revenue,total_energy,total_CO2,total_NOX,total_CO,total_HC,energy_miles_per_gallon,CO2_per_mile,NOX_per_mile,CO_per_mile,HC_per_mile
1,2,1->2,2,493,  0.45,  0.00,  9.00,  8.00,270.00,540.00,  0.00,80.00,0,203,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,494,  0.45,  0.00,  9.00,  9.00,270.00,540.00,  0.00,80.00,0,212,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,495,  0.45,  0.00,  8.00,  7.00,240.00,480.00,  0.00,80.00,0,221,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,496,  0.45,  0.00,  4.00,  9.00,120.00,240.00,  0.00,80.00,0,229,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,497,  0.45,  0.00,  3.00,  0.00, 90.00,180.00,  0.00,80.00,0,233,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,498,  0.45,  0.00,  8.00,  8.00,240.00,480.00,  0.00,80.00,0,236,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,499,  0.45,  0.00,  9.00,  8.00,270.00,540.00,  0.00,80.00,0,244,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,500,  0.45,  0.00,  8.00,  9.00,240.00,480.00,  0.00,80.00,0,253,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,501,  0.45,  0.00,  9.00,  8.00,270.00,540.00,  0.00,80.00,0,261,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,502,  0.45,  0.00,  9.00,  8.00,270.00,540.00,  0.00,80.00,0,270,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,503,  0.45,  0.00,  8.00,  9.00,240.00,480.00,  0.00,80.00,0,279,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,504,  0.45,  0.00,  8.00,  8.00,240.00,480.00,  0.00,80.00,0,287,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,505,  0.45,  0.00,  8.00,  9.00,240.00,480.00,  0.00,80.00,0,295,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,506,  0.45,  0.00,  9.00,  8.00,270.00,540.00,  0.00,80.00,0,303,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,507,  0.45,  0.00,  8.00,  8.00,240.00,480.00,  0.00,80.00,0,312,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,508,  0.45,  0.00,  8.00,  8.00,240.00,480.00,  0.00,80.00,0,320,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,509,  0.45,  0.00,  8.00,  9.00,240.00,480.00,  0.00,80.00,0,328,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,510,  0.45,  0.00,  9.00,  8.00,270.00,540.00,  0.00,80.00,0,336,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,511,  0.45,  0.00,  3.00,  7.00, 90.00,180.00,  0.00,80.00,0,345,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,512,  0.45,  0.00,  4.00,  0.00,120.00,240.00,  0.00,80.00,0,348,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,513,  0.45,  0.00,  8.00,  9.00,240.00,480.00,  0.00,80.00,0,352,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,514,  0.45,  0.00,  9.00,  9.00,270.00,540.00,  0.00,80.00,0,360,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,515,  0.45,  0.00,  9.00,  8.00,270.00,540.00,  0.00,80.00,0,369,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,516,  0.45,  0.00,  8.00,  9.00,240.00,480.00,  0.00,80.00,0,378,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,517,  0.45,  0.00,  8.00,  7.00,240.00,480.00,  0.00,80.00,0,386,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,518,  0.45,  0.00,  8.00,  9.00,240.00,480.00,  0.00,80.00,0,394,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,519,  0.45,  0.00,  9.00,  8.00,270.00,540.00,  0.00,80.00,0,402,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2,1->2,2,520,  0.45,  0.00,  8.00,  8.00,240.00,480.00,  0.00,80.00,0,411,0,0,0,0,  0.00,  0.00,  0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
