agent_id,trip_id,from_zone_id,to_zone_id,from_origin__node_id,to_destination_node_id,start_time_in_min,end_time_in_min,travel_time_in_min,demand_type,pricing_type,information_type,value_of_time,vehicle_type,vehicle_age,distance
113,0,15,7,15,7,426.84,518.70,91.86,1,1,2,1.00,1,0,122.47,
114,0,15,7,15,7,426.90,518.80,91.90,1,1,2,1.00,1,0,122.47,
115,0,15,7,15,7,426.96,508.80,81.84,1,1,2,1.00,1,0,109.11,
116,0,15,7,15,7,427.02,508.90,81.88,1,1,2,1.00,1,0,109.11,
117,0,15,7,15,7,427.08,519.00,91.92,1,1,2,1.00,1,0,122.47,
118,0,15,7,15,7,427.14,519.00,91.86,1,1,2,1.00,1,0,122.47,
119,0,15,7,15,7,427.20,509.10,81.90,1,1,2,1.00,1,0,109.11,
120,0,15,7,15,7,427.26,519.10,91.84,1,1,2,1.00,2,0,122.47,
121,0,15,7,15,7,427.32,519.20,91.88,1,1,2,1.00,1,0,122.47,
122,0,15,7,15,7,427.38,509.20,81.82,1,1,2,1.00,1,0,109.11,
123,0,15,7,15,7,427.44,509.30,81.86,1,1,2,1.00,1,0,109.11,
124,0,15,7,15,7,427.50,519.40,91.90,1,1,2,1.00,1,0,122.47,
125,0,15,7,15,7,427.56,509.40,81.84,1,1,2,1.00,1,0,109.11,
126,0,15,7,15,7,427.62,509.50,81.88,1,1,2,1.00,1,0,109.11,
127,0,15,7,15,7,427.68,519.60,91.92,1,1,2,1.00,2,0,122.47,
128,0,15,7,15,7,427.74,519.60,91.86,1,1,2,1.00,1,0,122.47,
129,0,15,7,15,7,427.80,509.70,81.90,1,1,2,1.00,1,0,109.11,
130,0,15,7,15,7,427.86,509.70,81.84,1,1,2,1.00,1,0,109.11,
131,0,15,7,15,7,427.92,519.80,91.88,1,1,2,1.00,1,0,122.47,
132,0,15,7,15,7,427.98,509.80,81.82,1,1,2,1.00,2,0,109.11,
133,0,15,7,15,7,428.04,509.90,81.86,1,1,2,1.00,1,0,109.11,
134,0,15,7,15,7,428.10,520.00,91.90,1,1,2,1.00,1,0,122.47,
135,0,15,7,15,7,428.16,520.20,92.04,1,1,2,1.00,2,0,122.47,
136,0,15,7,15,7,428.22,510.10,81.88,1,1,2,1.00,1,0,109.11,
137,0,15,7,15,7,428.28,520.20,91.92,1,1,2,1.00,1,0,122.47,
138,0,15,7,15,7,428.34,520.20,91.86,1,1,2,1.00,1,0,122.47,
139,0,15,7,15,7,428.40,510.30,81.90,1,1,2,1.00,1,0,109.11,
140,0,15,7,15,7,428.46,510.30,81.84,1,1,2,1.00,2,0,109.11,
141,0,15,7,15,7,428.52,520.40,91.88,1,1,2,1.00,1,0,122.47,
142,0,15,7,15,7,428.58,520.50,91.92,1,1,2,1.00,1,0,122.47,
143,0,15,7,15,7,428.64,510.50,81.86,1,1,2,1.00,1,0,109.11,
144,0,15,7,15,7,428.70,520.60,91.90,1,1,2,1.00,1,0,122.47,
145,0,15,7,15,7,428.76,520.60,91.84,1,1,2,1.00,2,0,122.47,
146,0,15,7,15,7,428.82,510.70,81.88,1,1,2,1.00,1,0,109.11,
147,0,15,7,15,7,428.88,510.70,81.82,1,1,2,1.00,1,0,109.11,
148,0,15,7,15,7,428.94,520.80,91.86,1,1,2,1.00,1,0,122.47,
149,0,15,7,15,7,429.00,510.90,81.90,1,1,2,1.00,2,0,109.11,
150,0,15,7,15,7,429.06,510.90,81.84,1,1,2,1.00,1,0,109.11,
151,0,15,7,15,7,429.12,521.00,91.88,1,1,2,1.00,1,0,122.47,
152,0,15,7,15,7,429.18,521.10,91.92,1,1,2,1.00,1,0,122.47,
153,0,15,7,15,7,429.24,511.10,81.86,1,1,2,1.00,1,0,109.11,
154,0,15,7,15,7,429.30,521.20,91.90,1,1,2,1.00,2,0,122.47,
155,0,15,7,15,7,429.36,521.20,91.84,1,1,2,1.00,2,0,122.47,
156,0,15,7,15,7,429.42,511.30,81.88,1,1,2,1.00,1,0,109.11,
157,0,15,7,15,7,429.48,511.30,81.82,1,1,2,1.00,1,0,109.11,
158,0,15,7,15,7,429.54,521.40,91.86,1,1,2,1.00,1,0,122.47,
159,0,15,7,15,7,429.60,521.50,91.90,1,1,2,1.00,2,0,122.47,
160,0,15,7,15,7,429.66,511.50,81.84,1,1,2,1.00,2,0,109.11,
161,0,15,7,15,7,429.72,521.60,91.88,1,1,2,1.00,1,0,122.47,
162,0,15,7,15,7,429.78,521.70,91.92,1,1,2,1.00,1,0,122.47,
163,0,15,7,15,7,429.84,511.70,81.86,1,1,2,1.00,1,0,109.11,
164,0,15,7,15,7,429.90,511.80,81.90,1,1,2,1.00,1,0,109.11,
165,0,15,7,15,7,429.96,521.80,91.84,1,1,2,1.00,2,0,122.47,
166,0,15,7,15,7,430.01,511.90,81.89,1,1,2,1.00,1,0,109.11,
167,0,15,7,15,7,430.07,511.90,81.83,1,1,2,1.00,1,0,109.11,
168,0,15,7,15,7,430.13,522.00,91.87,1,1,2,1.00,2,0,122.47,
169,0,15,7,15,7,430.19,522.10,91.91,1,1,2,1.00,1,0,122.47,
170,0,15,7,15,7,430.25,512.10,81.85,1,1,2,1.00,1,0,109.11,
171,0,15,7,15,7,430.31,512.20,81.89,1,1,2,1.00,1,0,109.11,
172,0,15,7,15,7,430.37,522.30,91.93,1,1,2,1.00,1,0,122.47,
173,0,15,7,15,7,430.43,512.30,81.87,1,1,2,1.00,1,0,109.11,
174,0,15,7,15,7,430.49,512.40,81.91,1,1,2,1.00,1,0,109.11,
175,0,15,7,15,7,430.55,522.40,91.85,1,1,2,1.00,1,0,122.47,
176,0,15,7,15,7,430.61,522.50,91.89,1,1,2,1.00,1,0,122.47,
177,0,15,7,15,7,430.67,512.50,81.83,1,1,2,1.00,2,0,109.11,
178,0,15,7,15,7,430.73,522.60,91.87,1,1,2,1.00,2,0,122.47,
179,0,15,7,15,7,430.79,522.70,91.91,1,1,2,1.00,1,0,122.47,
180,0,15,7,15,7,430.85,512.70,81.85,1,1,2,1.00,1,0,109.11,
181,0,15,7,15,7,430.91,512.80,81.89,1,1,2,1.00,1,0,109.11,
182,0,15,7,15,7,430.97,522.90,91.93,1,1,2,1.00,1,0,122.47,
183,0,15,7,15,7,431.03,522.90,91.87,1,1,2,1.00,2,0,122.47,
184,0,15,7,15,7,431.09,513.00,81.91,1,1,2,1.00,1,0,109.11,
185,0,15,7,15,7,431.15,523.00,91.85,1,1,2,1.00,1,0,122.47,
186,0,15,7,15,7,431.21,523.10,91.89,1,1,2,1.00,2,0,122.47,
187,0,15,7,15,7,431.27,513.10,81.83,1,1,2,1.00,2,0,109.11,
188,0,15,7,15,7,431.33,513.20,81.87,1,1,2,1.00,1,0,109.11,
189,0,15,7,15,7,431.39,523.30,91.91,1,1,2,1.00,1,0,122.47,
190,0,15,7,15,7,431.45,513.30,81.85,1,1,2,1.00,1,0,109.11,
191,0,15,7,15,7,431.51,513.40,81.89,1,1,2,1.00,2,0,109.11,
192,0,15,7,15,7,431.57,523.50,91.93,1,1,2,1.00,1,0,122.47,
193,0,15,7,15,7,431.63,523.50,91.87,1,1,2,1.00,2,0,122.47,
194,0,15,7,15,7,431.69,513.60,81.91,1,1,2,1.00,2,0,109.11,
195,0,15,7,15,7,431.75,513.60,81.85,1,1,2,1.00,1,0,109.11,
196,0,15,7,15,7,431.81,523.70,91.89,1,1,2,1.00,1,0,122.47,
197,0,15,7,15,7,431.87,513.70,81.83,1,1,2,1.00,1,0,109.11,
198,0,15,7,15,7,431.93,513.80,81.87,1,1,2,1.00,1,0,109.11,
199,0,15,7,15,7,431.99,523.90,91.91,1,1,2,1.00,2,0,122.47,
200,0,15,7,15,7,432.05,524.10,92.05,1,1,2,1.00,1,0,122.47,
201,0,15,7,15,7,432.11,514.00,81.89,1,1,2,1.00,1,0,109.11,
202,0,15,7,15,7,432.17,524.10,91.93,1,1,2,1.00,1,0,122.47,
203,0,15,7,15,7,432.23,524.10,91.87,1,1,2,1.00,1,0,122.47,
204,0,15,7,15,7,432.29,514.20,81.91,1,1,2,1.00,1,0,109.11,
205,0,15,7,15,7,432.35,514.20,81.85,1,1,2,1.00,1,0,109.11,
206,0,15,7,15,7,432.41,524.30,91.89,1,1,2,1.00,1,0,122.47,
207,0,15,7,15,7,432.47,524.40,91.93,1,1,2,1.00,1,0,122.47,
208,0,15,7,15,7,432.53,514.40,81.87,1,1,2,1.00,1,0,109.11,
209,0,15,7,15,7,432.59,524.50,91.91,1,1,2,1.00,1,0,122.47,
210,0,15,7,15,7,432.65,524.50,91.85,1,1,2,1.00,2,0,122.47,
211,0,15,7,15,7,432.71,514.60,81.89,1,1,2,1.00,2,0,109.11,
212,0,15,7,15,7,432.77,514.60,81.83,1,1,2,1.00,1,0,109.11,
213,0,15,7,15,7,432.83,524.70,91.87,1,1,2,1.00,2,0,122.47,
214,0,15,7,15,7,432.89,514.80,81.91,1,1,2,1.00,1,0,109.11,
215,0,15,7,15,7,432.95,514.80,81.85,1,1,2,1.00,1,0,109.11,
216,0,15,7,15,7,433.01,524.90,91.89,1,1,2,1.00,1,0,122.47,
217,0,15,7,15,7,433.07,525.00,91.93,1,1,2,1.00,2,0,122.47,
218,0,15,7,15,7,433.13,515.00,81.87,1,1,2,1.00,2,0,109.11,
219,0,15,7,15,7,433.19,515.10,81.91,1,1,2,1.00,1,0,109.11,
220,0,15,7,15,7,433.25,525.10,91.85,1,1,2,1.00,2,0,122.47,
221,0,15,7,15,7,433.31,515.20,81.89,1,1,2,1.00,1,0,109.11,
222,0,15,7,15,7,433.37,515.20,81.83,1,1,2,1.00,1,0,109.11,
223,0,15,7,15,7,433.43,525.30,91.87,1,1,2,1.00,1,0,122.47,
224,0,15,7,15,7,433.49,525.40,91.91,1,1,2,1.00,1,0,122.47,
225,0,15,7,15,7,433.55,515.40,81.85,1,1,2,1.00,2,0,109.11,
226,0,15,7,15,7,433.61,525.50,91.89,1,1,2,1.00,1,0,122.47,
227,0,15,7,15,7,433.67,525.60,91.93,1,1,2,1.00,1,0,122.47,
228,0,15,7,15,7,433.73,515.60,81.87,1,1,2,1.00,1,0,109.11,
229,0,15,7,15,7,433.79,515.70,81.91,1,1,2,1.00,1,0,109.11,
230,0,15,7,15,7,433.85,525.70,91.85,1,1,2,1.00,1,0,122.47,
231,0,15,7,15,7,433.91,515.80,81.89,1,1,2,1.00,1,0,109.11,
232,0,15,7,15,7,433.97,515.80,81.83,1,1,2,1.00,1,0,109.11,
233,0,15,7,15,7,434.03,525.90,91.87,1,1,2,1.00,1,0,122.47,
234,0,15,7,15,7,434.09,526.00,91.91,1,1,2,1.00,1,0,122.47,
235,0,15,7,15,7,434.15,516.00,81.85,1,1,2,1.00,1,0,109.11,
236,0,15,7,15,7,434.21,516.10,81.89,1,1,2,1.00,1,0,109.11,
237,0,15,7,15,7,434.27,526.20,91.93,1,1,2,1.00,2,0,122.47,
238,0,15,7,15,7,434.33,516.20,81.87,1,1,2,1.00,1,0,109.11,
239,0,15,7,15,7,434.39,516.30,81.91,1,1,2,1.00,1,0,109.11,
240,0,15,7,15,7,434.45,526.30,91.85,1,1,2,1.00,1,0,122.47,
241,0,15,7,15,7,434.51,526.40,91.89,1,1,2,1.00,1,0,122.47,
242,0,15,7,15,7,434.57,516.40,81.83,1,1,2,1.00,1,0,109.11,
243,0,15,7,15,7,434.63,526.50,91.87,1,1,2,1.00,1,0,122.47,
244,0,15,7,15,7,434.69,526.60,91.91,1,1,2,1.00,1,0,122.47,
245,0,15,7,15,7,434.75,516.60,81.85,1,1,2,1.00,1,0,109.11,
246,0,15,7,15,7,434.81,516.70,81.89,1,1,2,1.00,1,0,109.11,
