from_node_id,to_node_id,type_code,start_time_in_min,end_time_in_min,total_link_volume,lane_capacity_in_vhc_per_hour,volume_over_capacity_ratio,avg_waiting_time_on_loading_buffer_(min),speed_limit,speed,percentage_of_speed_limit,level_of_service,sensor_data_flag,sensor_link_volume,simulated_link_volume,measurement_error,abs_measurement_error_percentage,simulated_AADT,TotalEnergy_(J/hr),CO2_(g/hr),NOX_(g/hr),CO_(g/hr),HC_(g/hr),sov_volume,hov_volume,truck_volume,intermodal_volume,geometry,from_node_id,to_node_id,vol_d1,vol_d2,spd_d1,spd_d2,
14,13,a,420,540,2000,1500.0000,0.3333,0.0000,80.0000,79.9999,100,A,0,0.0000,2000,0.0000,0.0000,20000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2000,0,0,0,"<LineString><coordinates>129.453217691738,35.9901278016516,0.0 129.436588790519,35.9519431432182,0.0</coordinates></LineString>",14,13,
14,16,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.453217691738,35.9901278016516,0.0 129.381265944163,36.0033931159611,0.0</coordinates></LineString>",14,16,
16,14,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.381265944163,36.0033931159611,0.0 129.453217691738,35.9901278016516,0.0</coordinates></LineString>",16,14,
1,16,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.364920045864,36.0362420079224,0.0 129.381265944163,36.0033931159611,0.0</coordinates></LineString>",1,16,
16,1,a,420,540,930,1500.0000,0.1550,0.0000,80.0000,80.0000,100,A,0,0.0000,930,0.0000,0.0000,9300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,930,0,0,0,"<LineString><coordinates>129.381265944163,36.0033931159611,0.0 129.364920045864,36.0362420079224,0.0</coordinates></LineString>",16,1,
12,16,a,420,540,930,1500.0000,0.1550,0.0000,80.0000,80.0000,100,A,0,0.0000,930,0.0000,0.0000,9300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,930,0,0,0,"<LineString><coordinates>129.348325902026,35.9688899005064,0.0 129.381265944163,36.0033931159611,0.0</coordinates></LineString>",12,16,
16,12,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.381265944163,36.0033931159611,0.0 129.348325902026,35.9688899005064,0.0</coordinates></LineString>",16,12,
2,11,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.359758753606,36.0375862408016,0.0 129.308561457042,36.000799527216,0.0</coordinates></LineString>",2,11,
11,2,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.308561457042,36.000799527216,0.0 129.359758753606,36.0375862408016,0.0</coordinates></LineString>",11,2,
2,4,a,420,540,930,1500.0000,0.1550,0.0000,80.0000,80.0000,100,A,0,0.0000,930,0.0000,0.0000,9300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,930,0,0,0,"<LineString><coordinates>129.359758753606,36.0375862408016,0.0 129.340801726867,36.0868170563197,0.0</coordinates></LineString>",2,4,
4,2,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.340801726867,36.0868170563197,0.0 129.359758753606,36.0375862408016,0.0</coordinates></LineString>",4,2,
4,17,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.340801726867,36.0868170563197,0.0 129.351998649439,36.2018852843679,0.0</coordinates></LineString>",4,17,
17,4,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.351998649439,36.2018852843679,0.0 129.340801726867,36.0868170563197,0.0</coordinates></LineString>",17,4,
17,18,a,420,540,0,1500.0000,0.0000,0.0000,80.0000,80.0000,100,A,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,"<LineString><coordinates>129.351998649439,36.2018852843679,0.0 129.37841715526,36.2750003512804,0.0</coordinates></LineString>",17,18,
