agent_id,trip_id,from_zone_id,to_zone_id,departure_time,arrival_time,buffer_waiting_time,complete_flag,trip_time,demand_type,pricing_type,vehicle_type,information_type,value_of_time,toll_cost_in_dollar,emissions,distance_in_mile,TotalEnergy_(KJ),CO2_(g),NOX_(g),CO_(g),HC_(g),age,number_of_nodes,VMS_response_info,Evacuation_response_info,path_node_sequence,path_time_sequence,link_travel_time_sequence,path_sequence
30,0,15,7,421.86,503.70,0.04,1,81.84,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,421.9;447.7;452.0;460.2;464.5;468.2;474.4;482.2;503.7;,25.85;4.22;8.22;4.30;3.73;6.14;7.84;21.49;,"<15;421.90;0;0><14; 447.75;25.85;0.00><13; 451.97;4.22;0.00><12; 460.19;8.22;0.00><11; 464.49;4.30;0.00><3; 468.22;3.73;0.00><6; 474.36;6.14;0.00><5; 482.21;7.84;0.00><7; 503.70;21.49;0.00>"
31,0,15,7,421.92,513.80,-0.02,1,91.88,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,421.9;447.8;452.0;460.2;465.2;468.5;468.9;473.6;478.3;484.4;492.3;513.8;,25.91;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.52;,"<15;421.90;0;0><14; 447.81;25.91;0.00><13; 452.03;4.22;0.00><12; 460.25;8.22;0.00><16; 465.25;5.00;0.00><1; 468.47;3.23;0.00><2; 468.92;0.45;0.00><4; 473.65;4.73;0.00><3; 478.30;4.65;0.00><6; 484.44;6.14;0.00><5; 492.28;7.84;0.00><7; 513.80;21.52;0.00>"
32,0,15,7,421.98,513.90,0.02,1,91.92,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,422.0;447.9;452.1;460.3;465.3;468.5;469.0;473.7;478.4;484.5;492.3;513.9;,25.87;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.56;,"<15;422.00;0;0><14; 447.87;25.87;0.00><13; 452.09;4.22;0.00><12; 460.31;8.22;0.00><16; 465.31;5.00;0.00><1; 468.53;3.23;0.00><2; 468.98;0.45;0.00><4; 473.71;4.73;0.00><3; 478.36;4.65;0.00><6; 484.50;6.14;0.00><5; 492.34;7.84;0.00><7; 513.90;21.56;0.00>"
33,0,15,7,422.04,503.90,0.06,1,81.86,1,1,2,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,422.1;447.9;452.1;460.4;464.7;468.4;474.5;482.4;503.9;,25.83;4.22;8.22;4.30;3.73;6.14;7.84;21.51;,"<15;422.10;0;0><14; 447.93;25.83;0.00><13; 452.15;4.22;0.00><12; 460.37;8.22;0.00><11; 464.67;4.30;0.00><3; 468.40;3.73;0.00><6; 474.54;6.14;0.00><5; 482.39;7.84;0.00><7; 503.90;21.51;0.00>"
34,0,15,7,422.10,504.00,0.00,1,81.90,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,422.1;448.0;452.2;460.4;464.7;468.5;474.6;482.4;504.0;,25.89;4.22;8.22;4.30;3.73;6.14;7.84;21.55;,"<15;422.10;0;0><14; 447.99;25.89;0.00><13; 452.21;4.22;0.00><12; 460.43;8.22;0.00><11; 464.73;4.30;0.00><3; 468.46;3.73;0.00><6; 474.60;6.14;0.00><5; 482.45;7.84;0.00><7; 504.00;21.55;0.00>"
35,0,15,7,422.16,514.00,0.04,1,91.84,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,422.2;448.0;452.3;460.5;465.5;468.7;469.2;473.9;478.5;484.7;492.5;514.0;,25.85;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.48;,"<15;422.20;0;0><14; 448.05;25.85;0.00><13; 452.27;4.22;0.00><12; 460.49;8.22;0.00><16; 465.49;5.00;0.00><1; 468.71;3.23;0.00><2; 469.16;0.45;0.00><4; 473.89;4.73;0.00><3; 478.54;4.65;0.00><6; 484.68;6.14;0.00><5; 492.52;7.84;0.00><7; 514.00;21.48;0.00>"
36,0,15,7,422.22,504.10,-0.02,1,81.88,1,1,2,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,422.2;448.1;452.3;460.5;464.8;468.6;474.7;482.6;504.1;,25.91;4.22;8.22;4.30;3.73;6.14;7.84;21.53;,"<15;422.20;0;0><14; 448.11;25.91;0.00><13; 452.33;4.22;0.00><12; 460.55;8.22;0.00><11; 464.85;4.30;0.00><3; 468.58;3.73;0.00><6; 474.72;6.14;0.00><5; 482.57;7.84;0.00><7; 504.10;21.53;0.00>"
37,0,15,7,422.28,504.10,0.02,1,81.82,1,1,2,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,422.3;448.2;452.4;460.6;464.9;468.6;474.8;482.6;504.1;,25.87;4.22;8.22;4.30;3.73;6.14;7.84;21.47;,"<15;422.30;0;0><14; 448.17;25.87;0.00><13; 452.39;4.22;0.00><12; 460.61;8.22;0.00><11; 464.91;4.30;0.00><3; 468.64;3.73;0.00><6; 474.78;6.14;0.00><5; 482.63;7.84;0.00><7; 504.10;21.47;0.00>"
38,0,15,7,422.34,514.20,0.06,1,91.86,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,422.4;448.2;452.4;460.7;465.7;468.9;469.3;474.1;478.7;484.9;492.7;514.2;,25.83;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.50;,"<15;422.40;0;0><14; 448.23;25.83;0.00><13; 452.45;4.22;0.00><12; 460.67;8.22;0.00><16; 465.67;5.00;0.00><1; 468.89;3.23;0.00><2; 469.34;0.45;0.00><4; 474.07;4.73;0.00><3; 478.72;4.65;0.00><6; 484.86;6.14;0.00><5; 492.70;7.84;0.00><7; 514.20;21.50;0.00>"
39,0,15,7,422.40,514.30,0.00,1,91.90,1,1,1,2,1.00,0.000,0.000,122.471,0.000000,0.000000,0.000000,0.000000,0.000000,0,12,,,15;14;13;12;16;1;2;4;3;6;5;7;,422.4;448.3;452.5;460.7;465.7;469.0;469.4;474.1;478.8;484.9;492.8;514.3;,25.89;4.22;8.22;5.00;3.23;0.45;4.73;4.65;6.14;7.84;21.54;,"<15;422.40;0;0><14; 448.29;25.89;0.00><13; 452.51;4.22;0.00><12; 460.73;8.22;0.00><16; 465.73;5.00;0.00><1; 468.95;3.23;0.00><2; 469.40;0.45;0.00><4; 474.13;4.73;0.00><3; 478.78;4.65;0.00><6; 484.92;6.14;0.00><5; 492.76;7.84;0.00><7; 514.30;21.54;0.00>"
40,0,15,7,422.46,504.30,0.04,1,81.84,1,1,1,2,1.00,0.000,0.000,109.114,0.000000,0.000000,0.000000,0.000000,0.000000,0,9,,,15;14;13;12;11;3;6;5;7;,422.5;448.3;452.6;460.8;465.1;468.8;475.0;482.8;504.3;,25.85;4.22;8.22;4.30;3.73;6.14;7.84;21.50;,"<15;422.50;0;0><14; 448.35;25.85;0.00><13; 452.57;4.22;0.00><12; 460.79;8.22;0.00><11; 465.09;4.30;0.00><3; 468.82;3.73;0.00><6; 474.96;6.14;0.00><5; 482.80;7.84;0.00><7; 504.30;21.50;0.00>"
